CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.03.01.02;Obrigações fiscais;13669.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.03.01.02;Obrigações fiscais;20539.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.03.02;Obrigações Fiscais Estaduais;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.03.02;Obrigações Fiscais Estaduais;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.03.03;Obrigações Fiscais Municipais;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.03.03;Obrigações Fiscais Municipais;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.04;Empréstimos e Financiamentos;343985.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.04;Empréstimos e Financiamentos;386646.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.04.01;Empréstimos e Financiamentos;230719.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.04.01;Empréstimos e Financiamentos;237577.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.04.01.01;Em Moeda Nacional;152143.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.04.01.01;Em Moeda Nacional;179378.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.04.01.02;Em Moeda Estrangeira;78576.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.04.01.02;Em Moeda Estrangeira;58199.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.04.02;Debêntures;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.04.02;Debêntures;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.04.03;Financiamento por Arrendamento;113266.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.04.03;Financiamento por Arrendamento;149069.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.05;Outras Obrigações;320533.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05;Outras Obrigações;121740.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.05.01;Passivos com Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.01;Passivos com Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.05.01.01;Débitos com Coligadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.01.01;Débitos com Coligadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.05.01.03;Débitos com Controladores;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.01.03;Débitos com Controladores;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.05.01.04;Débitos com Outras Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.01.04;Débitos com Outras Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.05.02;Outros;320533.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.02;Outros;121740.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.05.02.01;Dividendos e JCP a Pagar;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.02.01;Dividendos e JCP a Pagar;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;129557.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;4775.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.05.02.04;Instrumentos financeiros derivativos;181306.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.02.04;Instrumentos financeiros derivativos;88015.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.05.02.05;Adiantamento de clientes;9670.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.02.05;Adiantamento de clientes;28950.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.06;Provisões;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.06;Provisões;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.06.01.01;Provisões Fiscais;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.06.01.01;Provisões Fiscais;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.06.01.03;Provisões para Benefícios a Empregados;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.06.01.03;Provisões para Benefícios a Empregados;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.06.01.04;Provisões Cíveis;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.06.01.04;Provisões Cíveis;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.06.02;Outras Provisões;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.06.02;Outras Provisões;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.06.02.01;Provisões para Garantias;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.06.02.01;Provisões para Garantias;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.06.02.02;Provisões para Reestruturação;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.06.02.02;Provisões para Reestruturação;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.06.02.03;Provisões para Passivos Ambientais e de Desativação;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.06.02.03;Provisões para Passivos Ambientais e de Desativação;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.07;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.07;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.07.01;Passivos sobre Ativos Não-Correntes a Venda;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.07.01;Passivos sobre Ativos Não-Correntes a Venda;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.01.07.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.07.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02;Passivo Não Circulante;3392616.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02;Passivo Não Circulante;3891778.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02.01;Empréstimos e Financiamentos;3005099.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02.01;Empréstimos e Financiamentos;3629833.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02.01.01;Empréstimos e Financiamentos;1894010.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02.01.01;Empréstimos e Financiamentos;2399176.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02.01.01.01;Em Moeda Nacional;1778077.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02.01.01.01;Em Moeda Nacional;2340994.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02.01.01.02;Em Moeda Estrangeira;115933.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02.01.01.02;Em Moeda Estrangeira;58182.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02.01.02;Debêntures;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02.01.02;Debêntures;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02.01.03;Financiamento por Arrendamento;1111089.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02.01.03;Financiamento por Arrendamento;1230657.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02.02;Outras Obrigações;146498.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02.02;Outras Obrigações;93039.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02.02.01;Passivos com Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02.02.01;Passivos com Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02.02.01.01;Débitos com Coligadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02.02.01.01;Débitos com Coligadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02.02.01.03;Débitos com Controladores;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02.02.01.03;Débitos com Controladores;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02.02.01.04;Débitos com Outras Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02.02.01.04;Débitos com Outras Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02.02.02;Outros;146498.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02.02.02;Outros;93039.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-03-31;2.02.02.02.02;Adiantamento para Futuro Aumento de Capital;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.02.02.02.02;Adiantamento para Futuro Aumento de Capital;0.0000000000;S
